Building,Latitude,Longitude
Biomedical Sciences Building,29.64043815,-82.345818400329
Donald R. Dizney Stadium,29.63677665,-82.3665253728687
Emerging Pathogens Institute,29.6376403,-82.3504664
Counseling and Wellness Center,29.6423082,-82.3689267
East Campus Office Building,29.6720094,-82.29944943722825
Hough Hall,29.6504096,-82.3407493238466
Heavener Hall,29.6514973,-82.3397438478423
Indoor Practice Facility,29.650591,-82.35261525300137
Harrell Medical Education Building,29.64205115,-82.34449000293255
Infinity Hall,29.6501898,-82.3321596
Herbert Wertheim Laboratory for Engineering Excellence,29.64712705,-82.34799320416789
Student Health Care Center,29.6495042,-82.34670813125939
